Year,State,Region,Percentage
2008,Minnesota,Midwest,5.7
2008,Mississippi,South,10.9
2008,Missouri,Midwest,8.7
2008,Montana,West,5.9
2008,Nebraska,Midwest,7.3
2008,Nevada,West,8.6
2008,New Hampshire,Northeast,6.8
2008,New Jersey,Northeast,8.0
2008,New Mexico,West,7.6
2008,New York,Northeast,8.0
2008,North Carolina,South,9.1
2008,North Dakota,Midwest,7.0
2008,Ohio,Midwest,9.3
2008,Oklahoma,South,9.5
2008,Oregon,West,6.5
2008,Pennsylvania,Northeast,7.9
2008,Rhode Island,Northeast,7.1
2008,South Carolina,South,9.5
2008,South Dakota,Midwest,6.0
2008,Tennessee,South,10.0
2008,Texas,South,10.0
2008,Utah,West,6.9
2008,Vermont,Northeast,5.9
2008,Virginia,South,7.7
2008,Washington,West,6.8
2008,West Virginia,South,10.8
2008,Wisconsin,Midwest,6.9
2008,Wyoming,West,7.0
2009,Alabama,South,10.9
2009,Alaska,West,6.5
2009,Arizona,West,8.2
2009,Arkansas,South,9.5
2009,California,West,9.2
2009,Colorado,West,5.9
2009,Connecticut,Northeast,6.0
2009,Delaware,South,7.5
2009,District of Columbia,South,7.9
2009,Florida,South,9.6
2009,Georgia,South,9.9
2009,Hawaii,West,7.9
2009,Idaho,West,7.8
2009,Illinois,Midwest,7.9
2009,Indiana,Midwest,8.9
2009,Iowa,Midwest,6.9
2009,Kansas,Midwest,8.1
2009,Kentucky,South,11.0
2009,Louisiana,South,10.7
2009,Maine,Northeast,7.3
2009,Maryland,South,9.0
2009,Massachusetts,Northeast,7.5
2009,Michigan,Midwest,8.8
2009,Minnesota,Midwest,6.1
2009,Mississippi,South,10.8
2009,Missouri,Midwest,7.4
2009,Montana,West,6.1
2009,Nebraska,Midwest,7.0
2009,Nevada,West,7.9
2009,New Hampshire,Northeast,6.6
2009,New Jersey,Northeast,8.2
2009,New Mexico,West,8.2
2009,New York,Northeast,8.4
2009,North Carolina,South,9.2
2009,North Dakota,Midwest,6.9
2009,Ohio,Midwest,9.5
2009,Oklahoma,South,10.4
2009,Oregon,West,7.9
2009,Pennsylvania,Northeast,8.1
2009,Rhode Island,Northeast,6.4
2009,South Carolina,South,9.7
2009,South Dakota,Midwest,6.6
2009,Tennessee,South,9.8
2009,Texas,South,9.5
2009,Utah,West,6.9
2009,Vermont,Northeast,5.5
2009,Virginia,South,7.9
2009,Washington,West,7.5
2009,West Virginia,South,11.1
2009,Wisconsin,Midwest,7.7
2009,Wyoming,West,6.5
2010,Alabama,South,11.3
2010,Alaska,West,6.0
2010,Arizona,West,7.5
2010,Arkansas,South,8.9
2010,California,West,8.6
2010,Colorado,West,6.1
2010,Connecticut,Northeast,6.7
2010,Delaware,South,7.9
2010,District of Columbia,South,8.0
2010,Florida,South,8.6
2010,Georgia,South,9.8
2010,Hawaii,West,7.6
2010,Idaho,West,7.7
2010,Illinois,Midwest,8.5
2010,Indiana,Midwest,9.3
2010,Iowa,Midwest,6.8
2010,Kansas,Midwest,7.9
2010,Kentucky,South,9.3
2010,Louisiana,South,9.8
2010,Maine,Northeast,7.6
2010,Maryland,South,8.9
2010,Massachusetts,Northeast,7.0
2010,Michigan,Midwest,9.6
2010,Minnesota,Midwest,6.4
2010,Mississippi,South,11.7
2010,Missouri,Midwest,8.7
2010,Montana,West,6.3
2010,Nebraska,Midwest,7.2
2010,Nevada,West,8.4
2010,New Hampshire,Northeast,7.3
2010,New Jersey,Northeast,8.5
2010,New Mexico,West,8.0
2010,New York,Northeast,8.4
2010,North Carolina,South,9.4
2010,North Dakota,Midwest,6.9
2010,Ohio,Midwest,9.3
2010,Oklahoma,South,9.8
2010,Oregon,West,6.6
2010,Pennsylvania,Northeast,9.2
2010,Rhode Island,Northeast,7.3
2010,South Carolina,South,10.0
2010,South Dakota,Midwest,6.2
2010,Tennessee,South,10.6
2010,Texas,South,10.0
2010,Utah,West,7.3
2010,Vermont,Northeast,6.1
2010,Virginia,South,8.3
2010,Washington,West,7.3
2010,West Virginia,South,10.4
2010,Wisconsin,Midwest,6.6
2010,Wyoming,West,6.8
2011,Alabama,South,10.9
2011,Alaska,West,8.6
2011,Arizona,West,9.0
2011,Arkansas,South,10.3
2011,California,West,8.5
2011,Colorado,West,6.6
2011,Connecticut,Northeast,8.5
2011,Delaware,South,8.8
2011,District of Columbia,South,9.5
2011,Florida,South,9.0
2011,Georgia,South,10.2
2011,Hawaii,West,7.8
2011,Idaho,West,9.0
2011,Illinois,Midwest,9.4
2011,Indiana,Midwest,9.6
2011,Iowa,Midwest,7.3
2011,Kansas,Midwest,8.9
2011,Kentucky,South,10.0
2011,Louisiana,South,11.4
2011,Maine,Northeast,8.3
2011,Maryland,South,8.9
2011,Massachusetts,Northeast,7.5
2011,Michigan,Midwest,9.2
2011,Minnesota,Midwest,6.9
2011,Mississippi,South,11.6
2011,Missouri,Midwest,9.4
2011,Montana,West,7.0
2011,Nebraska,Midwest,7.8
2011,Nevada,West,10.0
2011,New Hampshire,Northeast,7.8
2011,New Jersey,Northeast,8.1
